Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
0,Love to Hate You,TV Show,2023.0,Comedy,"99,900,000",99.9
0,The Blacklist,TV Show,2013.0,Crime,"99,900,000",99.9
0,Shadow and Bone,TV Show,2021.0,Fantasy,"99,500,000",99.5
0,The Unbroken Voice,TV Show,2022.0,Drama,"99,000,000",99.0
0,Designated Survivor,TV Show,2016.0,Action,"98,500,000",98.5
0,The Interest of Love,TV Show,2022.0,Drama,"97,800,000",97.8
0,Wrong Side of the Tracks,TV Show,2022.0,Drama,"97,600,000",97.6
0,Minions: The Rise of Gru,Movie,2022.0,Animation,"96,400,000",96.4
0,Demon Slayer: Kimetsu no Yaiba,TV Show,2019.0,Animation,"95,800,000",95.8
0,The Blacklist,TV Show,2013.0,Crime,"95,700,000",95.7
0,That '90s Show,TV Show,2023.0,Comedy,"95,100,000",95.1
0,You,TV Show,2018.0,Crime,"95,000,000",95.0
0,La Reina del Sur,TV Show,2011.0,Drama,"94,700,000",94.7
0,All of Us Are Dead,TV Show,2022.0,Horror,"94,600,000",94.6
0,New Amsterdam,TV Show,2018.0,Drama,"94,400,000",94.4
0,Black Knight,TV Show,2023.0,Science Fiction,"94,300,000",94.3
0,Breaking Bad,TV Show,2008.0,Crime,"94,300,000",94.3
0,Obsession,TV Show,2023.0,Drama,"94,200,000",94.2
0,Biz Kimden Kaçıyorduk Anne?,TV Show,2023.0,Crime,"92,900,000",92.9
0,La Reina del Sur,TV Show,2011.0,Drama,"92,500,000",92.5
0,Hunger,Movie,2023.0,Drama,"92,300,000",92.3
0,Alice in Borderland,TV Show,2020.0,Thriller,"92,200,000",92.2
0,Cocomelon,TV Show,2020.0,Animation,"91,400,000",91.4
0,Firefly Lane,TV Show,2021.0,Drama,"91,200,000",91.2
0,Les Combattantes,TV Show,2022.0,War,"90,800,000",90.8
0,Formula 1: Drive to Survive,TV Show,2019.0,Documentary,"90,200,000",90.2
0,Sweet Tooth,TV Show,2021.0,Superhero,"89,000,000",89.0
0,S.W.A.T.,TV Show,2017.0,Crime,"88,600,000",88.6
0,Murder Mystery,Movie,2019.0,Comedy,"87,900,000",87.9
