Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million,title,imdb_rating
0,breaking bad,TV Show,2008.0,Crime,"116,200,000",116.2,,
0,el silencio,TV Show,2023.0,Crime,"115,800,000",115.8,,
0,lockwood & co.,TV Show,2023.0,Fantasy,"113,600,000",113.6,,
0,you,TV Show,2018.0,Crime,"107,200,000",107.2,,
0,breaking bad,TV Show,2008.0,Crime,"107,000,000",107.0,,
0,suits,TV Show,2011.0,Drama,"106,600,000",106.6,,
0,murdaugh murders: a southern scandal,TV Show,2023.0,Documentary,"104,600,000",104.6,,
0,welcome to eden,TV Show,2022.0,Science Fiction,"104,500,000",104.5,,
0,breaking bad,TV Show,2008.0,Crime,"104,300,000",104.3,,
0,lucifer,TV Show,2016.0,Superhero,"102,800,000",102.8,lucifer,83%
0,lucifer,TV Show,2016.0,Superhero,"102,800,000",102.8,lucifer,83
0,cocomelon,TV Show,2020.0,Animation,"102,300,000",102.3,,
0,café con aroma de mujer,TV Show,2021.0,Drama,"101,700,000",101.7,,
0,love to hate you,TV Show,2023.0,Comedy,"99,900,000",99.9,,
0,the blacklist,TV Show,2013.0,Crime,"99,900,000",99.9,the blacklist,81%
0,the blacklist,TV Show,2013.0,Crime,"99,900,000",99.9,the blacklist,81
0,shadow and bone,TV Show,2021.0,Fantasy,"99,500,000",99.5,,
0,the unbroken voice,TV Show,2022.0,Drama,"99,000,000",99.0,,
0,designated survivor,TV Show,2016.0,Action,"98,500,000",98.5,,
0,the interest of love,TV Show,2022.0,Drama,"97,800,000",97.8,,
0,wrong side of the tracks,TV Show,2022.0,Drama,"97,600,000",97.6,,
0,minions: the rise of gru,Movie,2022.0,Animation,"96,400,000",96.4,,
0,demon slayer: kimetsu no yaiba,TV Show,2019.0,Animation,"95,800,000",95.8,demon slayer: kimetsu no yaiba,
0,demon slayer: kimetsu no yaiba,TV Show,2019.0,Animation,"95,800,000",95.8,demon slayer: kimetsu no yaiba,0
